#,Player,Team,Pos,DPM,ODPM,DDPM,Box,On/Off DPM,MPG,Pace,Pts per 100,Ast per 100,FG%,3P%,FT%,$ Value,Salary,Surplus Value
131,Landry Shamet,New York Knicks,G,+0,+1,-0,+0,+0,26.1,99.8,20.9,3.4,46.3%,39.0%,75.3%,$19.2M,$2.3M,+$16.9M
132,Brandon Williams,Dallas Mavericks,G,+0,+1,-0,+0,+0,21.5,101.3,27.5,8.0,48.1%,31.5%,80.1%,$12.3M,$2.2M,+$10.0M
133,Cameron Johnson,Denver Nuggets,F,+0,+1,-0,-0,+1,28.1,98.9,18.1,4.1,48.2%,38.6%,85.4%,$16.7M,$20.8M,-$4.2M
134,Max Strus,Cleveland Cavaliers,G,+0,+0,+0,+0,+0,19.2,100.9,20.0,6.6,43.6%,36.1%,77.4%,$13.4M,$15.8M,-$2.4M
135,Josh Hart,New York Knicks,G,+0,-0,+1,+1,+0,33.9,100.7,19.8,7.4,51.5%,34.7%,74.6%,$21.0M,$19.3M,+$1.7M
136,Darius Garland,Los Angeles Clippers,G,+0,+2,-1,+1,+0,31.2,103.5,32.4,10.6,45.4%,37.3%,86.1%,$18.8M,$39.1M,-$20.2M
137,Javonte Green,Detroit Pistons,G-F,+0,-1,+1,+1,-0,18.2,99.8,19.5,1.9,45.1%,35.2%,79.8%,$11.4M,$2.3M,+$9.1M
138,Paolo Banchero,Orlando Magic,F,+0,+1,-0,-1,+1,38.6,101.2,29.6,6.7,46.8%,32.3%,74.0%,$22.3M,$15.2M,+$7.1M
139,Nickeil Alexander-Walker,Atlanta Hawks,G,+0,+1,-0,-0,+1,36.7,98.3,26.6,5.8,44.2%,38.5%,87.3%,$20.2M,$15.0M,+$5.2M
140,Jrue Holiday,Portland Trail Blazers,G,+0,+1,-1,+1,+0,34.0,100.5,28.2,9.7,47.3%,36.8%,83.9%,$19.8M,$32.1M,-$12.3M
141,CJ McCollum,Atlanta Hawks,G,+0,+1,-0,-0,+0,32.8,96.6,29.2,6.3,45.3%,37.3%,77.2%,$18.9M,$30.4M,-$11.5M
142,Brandon Ingram,Toronto Raptors,F,+0,+1,-0,+1,+0,33.7,91.9,29.6,5.7,47.6%,37.5%,83.0%,$24.7M,$37.7M,-$13.0M
143,Jabari Smith Jr.,Houston Rockets,F,+0,-0,+0,-0,+1,31.2,96.4,22.0,2.7,45.9%,33.9%,81.0%,$22.5M,$12.2M,+$10.3M
144,Ryan Rollins,Milwaukee Bucks,G,+0,+0,-0,+1,-0,25.5,99.2,24.0,8.3,46.2%,39.0%,80.0%,$19.5M,$4.0M,+$15.5M
145,Luka Garza,Boston Celtics,C,+0,+0,+0,+1,-0,11.5,97.7,23.4,3.0,51.4%,36.1%,76.8%,$12.2M,$2.4M,+$9.7M
146,Tobias Harris,Detroit Pistons,F,+0,+0,+0,-1,+1,23.7,98.8,23.2,3.1,48.3%,36.5%,87.1%,$19.1M,$26.4M,-$7.2M
147,Josh Okogie,Houston Rockets,G,+0,-1,+1,-1,+1,16.3,97.0,14.1,2.3,42.8%,34.0%,62.6%,$9.6M,$2.3M,+$7.3M
148,Ronald Holland II,Detroit Pistons,F,+0,-1,+1,+1,-1,21.6,98.7,22.3,3.0,45.6%,31.8%,80.6%,$15.2M,$8.6M,+$6.6M
149,Anthony Black,Orlando Magic,G,+0,-1,+1,+0,+0,29.1,102.1,22.5,5.2,43.6%,32.2%,71.8%,$20.4M,$7.9M,+$12.5M
150,Myles Turner,Milwaukee Bucks,C-F,+0,-1,+1,+2,+0,18.0,99.6,21.8,2.7,47.1%,37.6%,77.2%,$16.9M,$25.1M,-$8.2M
151,Sam Merrill,Cleveland Cavaliers,G,+0,+1,-0,+1,-0,25.8,98.9,21.6,4.8,45.2%,40.0%,85.5%,$15.9M,$8.4M,+$7.5M
152,Jordan Walsh,Boston Celtics,G,+0,-1,+1,+1,-0,7.3,97.1,17.0,2.5,49.4%,34.4%,75.2%,$9.9M,$2.2M,+$7.7M
153,Jordan Goodwin,Phoenix Suns,G,+0,-0,+1,+0,+1,29.1,94.6,21.7,5.1,42.7%,35.0%,75.6%,$14.2M,$2.3M,+$11.9M
154,Jaxson Hayes,Los Angeles Lakers,C,+0,-1,+1,+0,+0,17.4,98.1,19.4,3.2,67.2%,26.8%,65.4%,$15.6M,$3.4M,+$12.1M
155,Shaedon Sharpe,Portland Trail Blazers,G,+0,+1,-1,+0,+0,29.3,102.9,34.0,5.2,46.5%,32.6%,76.0%,$17.5M,$8.3M,+$9.2M
156,Jaylin Williams,Oklahoma City Thunder,F,+0,-1,+1,+0,+0,20.8,100.5,18.8,5.7,43.3%,37.8%,79.5%,$15.0M,$8.4M,+$6.6M
157,Nah'Shon Hyland,Minnesota Timberwolves,G,+0,+0,-0,+1,-0,16.3,98.7,22.7,7.9,43.5%,36.7%,78.8%,$10.6M,$2.3M,+$8.4M
158,Dalen Terry,Philadelphia 76ers,F,+0,-1,+1,+0,-0,10.4,97.5,17.3,5.6,47.6%,34.1%,66.7%,$10.6M,$5.3M,+$5.2M
159,Harrison Barnes,San Antonio Spurs,F,+0,+1,-0,-0,+0,24.5,96.0,18.5,3.6,46.2%,38.1%,82.3%,$14.6M,$18.8M,-$4.2M
160,Damian Lillard,Portland Trail Blazers,G,+0,+1,-1,+0,+0,25.0,99.4,27.4,9.1,43.6%,36.5%,90.6%,$11.3M,$67.6M,-$56.2M
161,Trey Murphy III,New Orleans Pelicans,F,+0,+1,-1,+1,-0,37.8,98.1,30.3,5.4,46.0%,36.5%,87.7%,$18.9M,$24.8M,-$5.8M
162,Miles Bridges,Charlotte Hornets,F,+0,+1,-1,-1,+0,32.1,96.8,25.9,4.8,43.4%,34.2%,84.5%,$17.9M,$24.8M,-$6.8M
163,Luguentz Dort,Oklahoma City Thunder,G,+0,-1,+1,-3,+1,32.1,99.4,15.3,2.6,40.9%,36.9%,75.8%,$19.6M,$18.0M,+$1.5M
164,Toumani Camara,Portland Trail Blazers,F,+0,-0,+0,-1,+1,36.6,100.6,19.9,4.0,45.7%,36.6%,71.0%,$20.8M,$2.2M,+$18.6M
165,Scotty Pippen Jr.,Memphis Grizzlies,G,+0,-0,+1,+1,-1,31.0,98.9,26.1,9.4,43.5%,34.6%,78.4%,$19.1M,$2.2M,+$16.9M
166,Aaron Nesmith,Indiana Pacers,G-F,+0,-0,+0,-2,+1,28.1,99.1,20.1,3.2,43.9%,39.4%,84.6%,$17.7M,$10.9M,+$6.8M
167,Davion Mitchell,Miami Heat,G,+0,-1,+1,-1,+1,26.6,101.0,15.4,9.4,48.6%,36.0%,70.6%,$16.4M,$11.5M,+$4.9M
168,Zach Edey,Memphis Grizzlies,C,+0,-1,+1,-1,+1,23.2,98.0,22.7,2.5,57.9%,29.6%,70.7%,$13.7M,$6.0M,+$7.7M
169,Deandre Ayton,Los Angeles Lakers,F-C,+0,-1,+1,+1,+0,25.2,98.6,22.3,2.2,65.0%,28.9%,66.8%,$13.9M,$43.2M,-$29.4M
170,RJ Barrett,Toronto Raptors,F-G,+0,+1,-1,-1,+0,31.2,92.6,29.9,4.9,49.3%,35.9%,69.4%,$19.5M,$27.4M,-$7.9M
171,Hugo González,Boston Celtics,G,+0,-1,+1,-0,+1,19.1,97.8,17.6,2.6,48.6%,33.2%,65.8%,$11.8M,$2.8M,+$9.1M
172,Ryan Kalkbrenner,Charlotte Hornets,C,+0,-1,+1,+1,-1,16.6,99.7,17.4,2.3,63.3%,21.8%,67.2%,$12.2M,$1.4M,+$10.9M
173,Dejounte Murray,New Orleans Pelicans,G,+0,+0,-0,+2,-1,29.9,96.1,29.8,9.2,45.1%,35.4%,82.4%,$12.6M,$30.5M,-$17.9M
174,Jabari Walker,Philadelphia 76ers,F,+0,-0,+0,-1,+1,13.0,95.6,21.3,2.6,49.5%,35.7%,76.3%,$10.5M,$1.4M,+$9.1M
175,Jose Alvarado,New York Knicks,G,-0,-1,+1,-1,+1,15.1,98.4,19.0,8.9,43.5%,34.2%,79.1%,$8.8M,$4.5M,+$4.4M
176,Brandin Podziemski,Golden State Warriors,G,-0,-0,+0,-0,+0,26.4,97.9,22.9,6.9,45.3%,35.9%,75.5%,$17.9M,$3.7M,+$14.3M
177,Santi Aldama,Memphis Grizzlies,F-C,-0,+0,-0,+1,-1,28.0,101.1,23.6,4.7,43.8%,33.4%,66.3%,$14.2M,$18.3M,-$4.1M
178,Collin Sexton,Chicago Bulls,G,-0,+1,-1,-0,-0,26.4,100.7,29.0,5.7,45.9%,37.9%,85.4%,$17.0M,$18.8M,-$1.8M
179,LJ Cryer,Golden State Warriors,G,-0,+0,-0,-0,-2,12.2,96.7,24.4,6.1,40.3%,37.1%,81.9%,$5.6M,$1.4M,+$4.2M
180,John Konchar,Utah Jazz,G-F,-0,-2,+2,+0,-0,35.1,102.0,11.1,4.1,42.4%,31.1%,72.3%,$17.5M,$6.1M,+$11.4M
181,Kevin Huerter,Detroit Pistons,G,-0,-0,+0,+1,-0,17.2,97.0,20.4,5.4,43.5%,36.5%,75.0%,$8.7M,$17.8M,-$9.1M
182,Kyle Filipowski,Utah Jazz,C,-0,-0,+0,+2,-2,28.0,100.1,24.1,5.5,49.8%,32.5%,75.1%,$15.4M,$3.0M,+$12.4M
183,Haywood Highsmith,Phoenix Suns,F,-0,-1,+1,+1,-1,9.9,95.5,15.0,3.6,44.2%,35.5%,69.7%,$5.1M,$5.6M,-$0.5M
184,Reed Sheppard,Houston Rockets,G,-0,-0,+0,+0,-1,23.2,98.4,26.1,5.9,42.0%,35.6%,83.2%,$20.3M,$10.5M,+$9.8M
185,Jaylon Tyson,Cleveland Cavaliers,G-F,-0,+0,-0,-0,-0,20.9,101.3,23.4,4.4,47.5%,41.0%,79.1%,$13.5M,$3.5M,+$10.0M
186,Keldon Johnson,San Antonio Spurs,F,-0,+0,-1,-0,-0,19.2,97.1,25.3,2.7,49.0%,36.8%,78.6%,$13.5M,$17.3M,-$3.9M
187,Gary Payton II,Golden State Warriors,G,-0,-1,+0,+0,-1,15.5,100.5,22.6,4.7,52.3%,33.4%,69.6%,$11.8M,$2.3M,+$9.5M
188,Justin Champagnie,Washington Wizards,G-F,-0,+0,-0,+1,-2,14.9,96.4,21.7,2.9,48.9%,33.7%,77.0%,$9.2M,$2.3M,+$6.8M
189,Simone Fontecchio,Miami Heat,—,-0,-0,-0,+0,-1,11.5,101.1,21.5,3.4,41.6%,36.7%,82.9%,$12.3M,$8.2M,+$4.0M
190,Kris Murray,Portland Trail Blazers,F,-0,-2,+1,+0,-0,13.6,99.1,14.8,3.1,45.7%,30.1%,63.7%,$11.5M,$3.1M,+$8.4M
191,Julian Phillips,Minnesota Timberwolves,F,-0,-0,+0,-0,+0,2.9,97.9,18.1,2.3,45.9%,34.5%,78.9%,$3.4M,$2.2M,+$1.2M
192,Devin Carter,Sacramento Kings,G,-0,-0,+0,-0,+0,10.8,97.3,21.7,6.8,41.5%,29.5%,75.5%,$8.8M,$4.9M,+$4.0M
193,Dylan Harper,San Antonio Spurs,G,-0,+0,-0,-1,+1,17.1,96.7,24.1,8.0,50.3%,33.1%,77.6%,$12.2M,$12.2M,-$0.1M
194,Zach Collins,Chicago Bulls,C-F,-0,-1,+1,+0,-0,19.5,97.4,23.4,5.1,49.3%,33.1%,76.9%,$10.1M,$17.9M,-$7.8M
195,Ryan Dunn,Phoenix Suns,F,-0,-1,+1,-0,-0,17.7,92.3,15.5,3.2,44.5%,33.7%,57.2%,$8.0M,$2.6M,+$5.4M
196,Oscar Tshiebwe,Utah Jazz,F-C,-0,-0,+0,-0,+0,13.6,98.9,17.9,2.9,63.0%,18.0%,73.2%,$4.0M,$1.4M,+$2.7M
197,Keegan Murray,Sacramento Kings,F,-0,-0,+0,-2,+0,21.9,95.9,19.1,2.8,41.0%,34.7%,78.5%,$15.9M,$11.0M,+$4.8M
198,Coby White,Charlotte Hornets,G,-0,+1,-1,-0,-0,20.6,100.0,28.1,6.7,41.8%,35.5%,83.3%,$14.5M,$12.8M,+$1.7M
199,Jake LaRavia,Los Angeles Lakers,F,-0,-0,+0,+0,-1,13.5,98.7,18.1,3.9,47.3%,35.3%,76.5%,$11.5M,$5.9M,+$5.6M
200,Dillon Brooks,Phoenix Suns,F,-0,+1,-1,-1,-0,25.6,97.3,33.1,3.6,44.2%,36.1%,82.0%,$15.2M,$20.9M,-$5.7M
201,Jay Huff,Indiana Pacers,C,-0,-1,+1,+1,-2,17.1,99.3,22.7,2.8,47.3%,32.0%,81.6%,$10.5M,$2.3M,+$8.2M
202,Tristan Vukcevic,Washington Wizards,F,-0,-0,-0,+1,-3,12.8,96.9,27.4,4.4,42.6%,33.2%,77.7%,$10.0M,$1.4M,+$8.6M
203,Kevon Looney,New Orleans Pelicans,F-C,-0,-1,+1,+1,-1,3.3,94.3,12.9,4.2,52.4%,22.7%,55.7%,$2.4M,$7.9M,-$5.6M
204,Daniel Gafford,Dallas Mavericks,F,-0,-1,+1,+0,-1,26.7,99.4,23.2,3.0,63.5%,15.0%,71.5%,$12.8M,$14.2M,-$1.5M
205,Andrew Wiggins,Miami Heat,F-G,-0,-1,+0,+1,-0,26.0,100.8,23.3,3.8,46.0%,36.4%,75.6%,$15.9M,$27.9M,-$12.1M
206,Moritz Wagner,Orlando Magic,F,-0,-0,-0,+0,-1,13.0,102.5,26.6,3.3,49.5%,34.0%,77.0%,$6.8M,$5.0M,+$1.8M
207,Kelly Oubre Jr.,Philadelphia 76ers,F,-0,-0,-0,+1,-0,32.9,94.3,23.1,3.4,47.5%,35.8%,77.0%,$17.1M,$8.3M,+$8.8M
208,Jalen Green,Phoenix Suns,G,-0,+0,-1,-0,-0,31.8,92.7,32.0,5.0,44.1%,34.9%,82.2%,$12.6M,$33.3M,-$20.7M
209,Dylan Cardwell,Sacramento Kings,C,-0,-2,+2,-0,-1,9.5,95.3,13.1,2.9,53.6%,20.2%,56.7%,$10.5M,$1.4M,+$9.1M
210,Tristan da Silva,Orlando Magic,F,-0,-1,+0,-1,-0,29.8,102.6,19.8,3.5,44.4%,37.6%,85.0%,$12.1M,$3.8M,+$8.3M
211,Matas Buzelis,Chicago Bulls,F,-0,+0,-1,+1,-2,27.7,99.7,27.1,3.8,44.1%,35.0%,79.4%,$16.3M,$5.4M,+$10.9M
212,Luke Kennard,Los Angeles Lakers,G,-0,+0,-1,+1,-1,14.4,99.4,20.3,4.4,49.6%,42.7%,88.5%,$12.2M,$10.9M,+$1.3M
213,Collin Murray-Boyles,Toronto Raptors,F,-0,-1,+1,-0,-1,18.6,92.1,16.6,4.1,56.8%,31.3%,67.0%,$13.9M,$6.3M,+$7.6M
214,Saddiq Bey,New Orleans Pelicans,F,-0,+1,-1,+1,-1,30.5,97.2,28.3,4.3,46.2%,37.5%,84.8%,$15.8M,$6.1M,+$9.7M
215,Johnny Furphy,Indiana Pacers,G,-0,-1,+1,-0,+0,19.7,97.8,15.6,3.5,42.8%,29.4%,59.1%,$8.6M,$1.9M,+$6.7M
216,Mason Plumlee,San Antonio Spurs,C-F,-0,-2,+2,+0,-1,2.7,94.7,14.6,4.9,54.4%,21.2%,59.9%,$4.8M,$2.3M,+$2.5M
217,Baylor Scheierman,Boston Celtics,G,-0,-1,+0,-0,-0,23.8,97.3,18.1,4.4,45.2%,37.8%,83.6%,$12.1M,$2.6M,+$9.5M
218,Isaiah Jackson,Los Angeles Clippers,F,-0,-1,+1,-0,-1,22.5,101.5,20.0,3.3,62.9%,16.9%,66.3%,$5.6M,$7.5M,-$1.9M
219,Pelle Larsson,Miami Heat,G,-0,-0,-0,-0,-1,27.7,100.9,19.7,5.3,50.0%,32.1%,78.5%,$14.2M,$1.9M,+$12.3M
220,Jamal Shead,Toronto Raptors,G,-0,-1,+0,-1,-0,18.8,94.1,16.1,9.7,41.8%,33.6%,77.3%,$9.8M,$1.9M,+$7.9M
221,A.J. Green,Milwaukee Bucks,G,-0,-0,-0,-1,+0,12.8,99.1,15.5,2.9,42.9%,40.1%,81.2%,$11.7M,$2.3M,+$9.4M
222,Ziaire Williams,Brooklyn Nets,F,-0,-1,+1,+2,-2,19.1,98.5,20.4,3.2,44.1%,35.2%,85.3%,$13.3M,$6.2M,+$7.2M
223,Karlo Matkovic,New Orleans Pelicans,F-C,-0,-1,+1,-0,-1,15.1,96.2,18.6,3.1,54.9%,35.7%,77.8%,$7.5M,$1.9M,+$5.5M
224,Yuki Kawamura,Chicago Bulls,G,-0,-1,+0,-0,-1,3.9,98.2,15.3,10.5,37.8%,34.5%,82.9%,$5.5M,$1.4M,+$4.2M
225,Leonard Miller,Chicago Bulls,F,-0,-1,+0,-0,-0,19.7,100.3,20.3,2.4,54.6%,33.3%,82.0%,$11.7M,$2.2M,+$9.5M
226,Yves Missi,New Orleans Pelicans,C,-0,-1,+1,-0,-1,21.0,95.4,16.0,3.0,57.9%,14.2%,60.1%,$5.7M,$3.3M,+$2.4M
227,Dorian Finney-Smith,Houston Rockets,F,-0,-2,+1,-2,-0,17.8,99.2,10.9,2.6,40.4%,34.8%,71.8%,$8.9M,$12.6M,-$3.6M
228,Marcus Sasser,Detroit Pistons,G,-1,-0,-0,-1,+1,13.9,100.7,20.4,7.6,44.5%,36.6%,83.2%,$7.6M,$2.9M,+$4.7M
229,Andrew Nembhard,Indiana Pacers,G-F,-1,+0,-1,-0,-1,25.6,99.8,25.0,10.4,44.9%,33.3%,81.5%,$13.0M,$17.9M,-$4.9M
230,Jerami Grant,Portland Trail Blazers,F,-1,-0,-1,-0,-1,33.3,101.4,28.9,4.0,46.0%,37.7%,83.3%,$11.0M,$31.7M,-$20.7M
231,Quenton Jackson,Indiana Pacers,G,-1,-0,-0,-1,-1,17.0,101.5,20.1,5.9,44.4%,34.8%,80.0%,$12.6M,$1.4M,+$11.2M
232,Jamaree Bouyea,Phoenix Suns,G,-1,-1,+0,-1,-1,2.8,93.0,20.4,6.4,44.2%,32.2%,73.4%,$3.7M,$1.4M,+$2.4M
233,Antonio Reeves,Charlotte Hornets,G,-1,-0,-0,-1,+0,2.6,100.3,21.6,2.9,42.1%,36.0%,74.7%,$6.3M,$1.4M,+$4.9M
234,Cooper Flagg,Dallas Mavericks,F,-1,-0,-0,-0,-2,33.3,98.5,29.5,7.0,46.6%,31.4%,79.6%,$15.2M,$13.7M,+$1.6M
235,Domantas Sabonis,Sacramento Kings,F,-1,-0,-0,+0,-1,15.8,96.5,24.8,7.6,55.1%,32.3%,71.3%,$9.2M,$41.9M,-$32.8M
236,MarJon Beauchamp,Philadelphia 76ers,F,-1,-0,-0,-0,-1,7.5,98.7,24.3,4.0,45.9%,36.3%,76.0%,$3.0M,$1.4M,+$1.7M
237,Jusuf Nurkic,Utah Jazz,C,-1,-2,+1,+2,-1,16.2,104.4,21.9,9.0,49.9%,31.3%,57.5%,$7.0M,$19.2M,-$12.2M
238,Bogdan Bogdanovic,Los Angeles Clippers,G,-1,-1,+0,-2,-0,13.5,99.6,22.1,6.8,40.7%,35.3%,81.6%,$3.5M,$15.9M,-$12.3M
239,Tre Jones,Chicago Bulls,G,-1,+0,-1,-0,-1,24.6,100.1,22.1,8.9,51.7%,33.0%,82.6%,$14.6M,$7.9M,+$6.7M
240,Kel'el Ware,Miami Heat,C,-1,-0,-0,-0,-1,20.7,101.5,22.3,1.4,52.9%,34.2%,75.0%,$10.3M,$4.4M,+$5.9M
241,Cam Spencer,Memphis Grizzlies,G,-1,+0,-1,-1,-1,22.0,99.2,19.5,9.7,43.5%,39.8%,92.0%,$11.1M,$2.5M,+$8.6M
242,Jevon Carter,Orlando Magic,G,-1,-1,-0,-2,+0,17.1,101.1,16.5,5.2,39.4%,36.4%,79.3%,$10.0M,$6.7M,+$3.2M
243,Peyton Watson,Denver Nuggets,G,-1,-0,-0,-0,-1,17.7,95.6,24.0,3.7,47.2%,36.3%,66.7%,$10.3M,$4.3M,+$6.0M
244,Wendell Moore Jr.,Detroit Pistons,G,-1,-1,+0,-1,-0,3.9,98.7,16.5,3.7,47.2%,31.8%,78.1%,$4.6M,$1.4M,+$3.3M
245,Jordan Miller,Los Angeles Clippers,G,-1,-0,-0,-0,-2,32.7,100.3,21.2,5.6,51.8%,33.6%,81.0%,$10.1M,$1.4M,+$8.8M
246,Thomas Bryant,Cleveland Cavaliers,C,-1,-1,-0,+1,-2,15.6,101.3,24.7,3.2,47.2%,34.9%,85.0%,$3.5M,$2.3M,+$1.2M
247,Ron Harper Jr.,Boston Celtics,F,-1,-1,-0,-1,-1,6.6,98.3,19.6,3.3,43.4%,34.6%,77.2%,$4.5M,$1.4M,+$3.1M
248,Obi Toppin,Indiana Pacers,F,-1,+0,-1,+0,-1,11.6,99.3,23.6,3.9,48.5%,35.9%,77.8%,$6.5M,$13.9M,-$7.4M
249,Marvin Bagley III,Dallas Mavericks,F,-1,-1,-0,-1,-1,18.1,99.1,22.6,3.4,58.4%,33.5%,69.4%,$9.3M,$2.3M,+$7.0M
250,Adem Bona,Philadelphia 76ers,F,-1,-2,+1,-1,-1,18.2,94.4,14.8,2.1,66.5%,23.9%,68.5%,$11.3M,$1.9M,+$9.3M
251,Olivier-Maxence Prosper,Memphis Grizzlies,F,-1,-0,-1,-0,-2,23.1,97.1,20.3,2.5,44.8%,32.3%,73.6%,$12.8M,$1.4M,+$11.4M
252,DaRon Holmes II,Denver Nuggets,F,-1,-0,-0,-1,-1,2.4,97.0,21.6,3.5,46.0%,33.8%,73.6%,$5.2M,$3.2M,+$2.0M
253,Cedric Coward,Memphis Grizzlies,G,-1,-0,-1,-1,+0,27.7,100.9,22.3,4.3,42.7%,34.7%,82.9%,$8.6M,$5.7M,+$2.9M
254,Thanasis Antetokounmpo,Milwaukee Bucks,F,-1,-2,+2,+0,-3,0.3,100.7,12.4,3.4,46.7%,17.8%,56.3%,$2.7M,$2.3M,+$0.4M
255,Asa Newell,Atlanta Hawks,F,-1,-1,+0,-1,-2,4.7,98.6,20.1,2.6,49.4%,32.5%,62.3%,$5.6M,$3.2M,+$2.4M
256,Kentavious Caldwell-Pope,Memphis Grizzlies,G,-1,-1,-0,-2,-1,24.1,98.0,20.6,5.0,39.7%,35.4%,85.0%,$8.7M,$21.4M,-$12.7M
257,T.J. McConnell,Indiana Pacers,G,-1,-0,-0,+1,-1,27.4,100.0,26.3,12.7,51.0%,28.9%,80.6%,$7.9M,$10.1M,-$2.2M
258,Vit Krejci,Portland Trail Blazers,G,-1,-1,-0,-1,-1,17.6,103.4,17.6,4.0,46.0%,38.4%,75.9%,$7.5M,$2.3M,+$5.2M
259,Tim Hardaway Jr.,Denver Nuggets,G,-1,+1,-2,-0,-1,24.2,98.7,23.0,2.7,44.0%,37.2%,81.8%,$9.9M,$2.3M,+$7.7M
260,Jaylen Clark,Minnesota Timberwolves,G,-1,-2,+1,-1,+0,3.5,98.5,16.3,2.8,45.0%,34.2%,68.5%,$2.1M,$2.2M,-$0.1M
261,Danny Wolf,Brooklyn Nets,F,-1,-1,+0,-0,-2,21.4,96.0,22.6,6.0,45.0%,33.2%,77.9%,$8.1M,$2.8M,+$5.3M
262,Jonathan Kuminga,Atlanta Hawks,F,-1,-1,-0,-1,-1,18.6,98.1,25.9,5.2,50.2%,34.0%,72.0%,$14.9M,$22.3M,-$7.4M
